decile,variable,value,year
decile 1,Food,1399395.0219265083,90
decile 2,Food,1951232.6880006818,90
decile 3,Food,2217653.2504023477,90
decile 4,Food,2430958.3039156017,90
decile 5,Food,2706820.4381951066,90
decile 6,Food,2886191.9439130947,90
decile 7,Food,3159260.67515121,90
decile 8,Food,3447404.7694256757,90
decile 9,Food,3838715.442392127,90
decile 10,Food,4518207.701526583,90
decile 1,food_std,785189.1725069248,90
decile 2,food_std,972125.3353091109,90
decile 3,food_std,1083663.0983783577,90
decile 4,food_std,1201836.439047554,90
decile 5,food_std,1326822.4535825814,90
decile 6,food_std,1484584.64688502,90
decile 7,food_std,1653830.4462893617,90
decile 8,food_std,1846152.951702477,90
decile 9,food_std,2221103.545398418,90
decile 10,food_std,3444861.5728841,90
decile 1,Drink,32773.699531226375,90
decile 2,Drink,44478.10209647179,90
decile 3,Drink,48272.00132538105,90
decile 4,Drink,50969.11645364171,90
decile 5,Drink,56143.12466899693,90
decile 6,Drink,59718.31266973669,90
decile 7,Drink,57830.76486895161,90
decile 8,Drink,50071.5723536036,90
decile 9,Drink,61024.852384557154,90
decile 10,Drink,57315.19389366556,90
decile 1,drink_std,107441.65689086434,90
decile 2,drink_std,125978.98078885804,90
decile 3,drink_std,167784.4482817196,90
decile 4,drink_std,156131.24546382335,90
decile 5,drink_std,174350.7001876808,90
decile 6,drink_std,222614.0457099004,90
decile 7,drink_std,187004.07037790006,90
decile 8,drink_std,154583.03043159295,90
decile 9,drink_std,211315.56933762692,90
decile 10,drink_std,210189.47696109192,90
decile 1,Cloth,101480.3266293664,90
decile 2,Cloth,194602.0538605761,90
decile 3,Cloth,264677.1277099309,90
decile 4,Cloth,353494.52221545955,90
decile 5,Cloth,412433.66168838047,90
decile 6,Cloth,500450.1594048884,90
decile 7,Cloth,614660.6602822581,90
decile 8,Cloth,737866.9059684685,90
decile 9,Cloth,955214.8372445117,90
decile 10,Cloth,1408350.1491489734,90
decile 1,cloth_std,227699.61490619698,90
decile 2,cloth_std,327417.4867789447,90
decile 3,cloth_std,412666.4257289213,90
decile 4,cloth_std,534682.8572694162,90
decile 5,cloth_std,596326.7342588044,90
decile 6,cloth_std,711727.5931912503,90
decile 7,cloth_std,838671.8749049242,90
decile 8,cloth_std,1003608.2835357565,90
decile 9,cloth_std,1311199.2818523645,90
decile 10,cloth_std,2091555.0729555078,90
decile 1,Housing,779138.907228187,90
decile 2,Housing,1187728.2877961479,90
decile 3,Housing,1431708.3373094765,90
decile 4,Housing,1659006.382836275,90
decile 5,Housing,1903671.04416905,90
decile 6,Housing,2132395.4638091866,90
decile 7,Housing,2416833.8805443547,90
decile 8,Housing,2732240.494650901,90
decile 9,Housing,3204575.428766086,90
decile 10,Housing,4510375.2730303565,90
decile 1,housign_std,457488.6536209532,90
decile 2,housign_std,659511.6667515095,90
decile 3,housign_std,787877.5911243145,90
decile 4,housign_std,939925.5497972768,90
decile 5,housign_std,1082657.059382381,90
decile 6,housign_std,1243780.1164792408,90
decile 7,housign_std,1477153.6184540947,90
decile 8,housign_std,1717673.7306212268,90
decile 9,housign_std,2285195.1147919195,90
decile 10,housign_std,6598430.924959159,90
decile 1,Furniture,76052.63496143959,90
decile 2,Furniture,116435.80194307142,90
decile 3,Furniture,140754.52522957494,90
decile 4,Furniture,170274.908703591,90
