,decile,variable,value,year
0,1.0,Food,0.45545630236583473,90
1,2.0,Food,0.40893205618172684,90
2,3.0,Food,0.3769210647107849,90
3,4.0,Food,0.3460324415778081,90
4,5.0,Food,0.32562214986508004,90
5,6.0,Food,0.30049395499009457,90
6,7.0,Food,0.2772083886950588,90
7,8.0,Food,0.2525727108681515,90
8,9.0,Food,0.226452637152467,90
9,10.0,Food,0.1641696353782017,90
10,1.0,Drink,0.010191650518547625,90
11,2.0,Drink,0.009331008827534445,90
12,3.0,Drink,0.008167834470171945,90
13,4.0,Drink,0.00718570466377626,90
14,5.0,Drink,0.006722223867899541,90
15,6.0,Drink,0.006227707237559186,90
16,7.0,Drink,0.005154357434757616,90
17,8.0,Drink,0.0036515606619801624,90
18,9.0,Drink,0.0034866134591164774,90
19,10.0,Drink,0.002125508182572754,90
20,1.0,Cloth,0.027337652992128515,90
21,2.0,Cloth,0.03737583349027687,90
22,3.0,Cloth,0.04134352297712622,90
23,4.0,Cloth,0.04590108949938575,90
24,5.0,Cloth,0.046025101622372735,90
25,6.0,Cloth,0.04844895994447515,90
26,7.0,Cloth,0.050272088605762884,90
27,8.0,Cloth,0.0511225337503359,90
28,9.0,Cloth,0.052740546691498635,90
29,10.0,Cloth,0.04662861492355067,90
30,1.0,Housing,0.28401847669791735,90
31,2.0,Housing,0.26642282020118535,90
32,3.0,Housing,0.2581063514812851,90
33,4.0,Housing,0.252273960851174,90
34,5.0,Housing,0.2423410740333796,90
35,6.0,Housing,0.23687153647916648,90
36,7.0,Housing,0.22489637369515383,90
37,8.0,Housing,0.2139678892553737,90
38,9.0,Housing,0.20149063952576363,90
39,10.0,Housing,0.17152383472937213,90
40,1.0,Furniture,0.024658191503993204,90
41,2.0,Furniture,0.023835414253852688,90
42,3.0,Furniture,0.023519780025239953,90
43,4.0,Furniture,0.02360517151087443,90
44,5.0,Furniture,0.022484709715526855,90
45,6.0,Furniture,0.021475351316972573,90
46,7.0,Furniture,0.02139217911993981,90
47,8.0,Furniture,0.01995470071856423,90
48,9.0,Furniture,0.02121645424723173,90
49,10.0,Furniture,0.022076436017585306,90
50,1.0,Health,0.03296130169863686,90
51,2.0,Health,0.036000690181238984,90
52,3.0,Health,0.03849255048581516,90
53,4.0,Health,0.038210762389011325,90
54,5.0,Health,0.04293309260961617,90
55,6.0,Health,0.04651768439743418,90
56,7.0,Health,0.045475836319792046,90
57,8.0,Health,0.05016350079703742,90
58,9.0,Health,0.054083812409666754,90
59,10.0,Health,0.05324805421573931,90
60,1.0,Transportation,0.045869566840639045,90
61,2.0,Transportation,0.048404835220328214,90
62,3.0,Transportation,0.04887236005830939,90
63,4.0,Transportation,0.04741155875565526,90
64,5.0,Transportation,0.047284034215463254,90
65,6.0,Transportation,0.04657509821457357,90
66,7.0,Transportation,0.046891682172008974,90
67,8.0,Transportation,0.046122307802841433,90
68,9.0,Transportation,0.04523240584141135,90
69,10.0,Transportation,0.03476973870913255,90
70,1.0,ICT,0.02731298718051499,90
71,2.0,ICT,0.031635069048372176,90
72,3.0,ICT,0.03240364254506035,90
73,4.0,ICT,0.031722216620819345,90
74,5.0,ICT,0.03209827980317239,90
75,6.0,ICT,0.03063299759516836,90
76,7.0,ICT,0.030720869866088678,90
77,8.0,ICT,0.02895895987885921,90
78,9.0,ICT,0.02622953563068907,90
79,10.0,ICT,0.019947670802959696,90
80,1.0,Entertainment,0.0025760174044522502,90
81,2.0,Entertainment,0.0034980066038323857,90
82,3.0,Entertainment,0.004206199434915144,90
83,4.0,Entertainment,0.004177863237439289,90
84,5.0,Entertainment,0.004641670057624142,90
85,6.0,Entertainment,0.004724214906181531,90
86,7.0,Entertainment,0.004790127329225244,90
87,8.0,Entertainment,0.0052094956750315296,90
88,9.0,Entertainment,0.005325700744501153,90
89,10.0,Entertainment,0.005274817537768173,90
90,1.0,Restaurant,0.003998313787439412,90
91,2.0,Restaurant,0.004869174642732484,90
92,3.0,Restaurant,0.005378029004638102,90
93,4.0,Restaurant,0.006036769595734515,90
94,5.0,Restaurant,0.006904030633506855,90
95,6.0,Restaurant,0.007253660679781129,90
96,7.0,Restaurant,0.007700671261154679,90
97,8.0,Restaurant,0.009134355000091203,90
98,9.0,Restaurant,0.008928737363950542,90
99,10.0,Restaurant,0.014069832431034072,90
100,1.0,Others,0.018154665094864957,90
101,2.0,Others,0.01942476241583567,90
102,3.0,Others,0.018957759489567873,90
103,4.0,Others,0.018484903128579235,90
104,5.0,Others,0.01739446286228128,90
105,6.0,Others,0.01734041948861242,90
106,7.0,Others,0.01626916093866146,90
107,8.0,Others,0.015382628778223908,90
108,9.0,Others,0.014137622730132202,90
109,10.0,Others,0.01314158809895058,90
110,1.0,Durables,0.06172612906431863,90
111,2.0,Durables,0.09633401395594533,90
112,3.0,Durables,0.12008707360332731,90
113,4.0,Durables,0.14097385869193882,90
114,5.0,Durables,0.15792930148335624,90
115,6.0,Durables,0.18090005993721267,90
116,7.0,Durables,0.20989947335875592,90
117,8.0,Durables,0.23473399742373663,90
118,9.0,Durables,0.2585584251329171,90
119,10.0,Durables,0.2700753696864,90
120,1.0,Investments,0.005738744850712076,90
121,2.0,Investments,0.013936314977138233,90
122,3.0,Investments,0.0235438317137582,90
123,4.0,Investments,0.03798369947780327,90
124,5.0,Investments,0.04761986923072047,90
125,6.0,Investments,0.052538354812767786,90
126,7.0,Investments,0.05932879120363964,90
127,8.0,Investments,0.06902535938977286,90
128,9.0,Investments,0.08211686907065394,90
129,10.0,Investments,0.1829488992867326,90
0,1.0,Food,0.4660957946797732,91
1,2.0,Food,0.4323643007641392,91
2,3.0,Food,0.39810711619117983,91
3,4.0,Food,0.37372773272127674,91
4,5.0,Food,0.349460629425497,91
5,6.0,Food,0.33344330029078534,91
6,7.0,Food,0.3130900997858646,91
7,8.0,Food,0.2916171545416116,91
8,9.0,Food,0.2630669328426865,91
9,10.0,Food,0.1894003423554932,91
10,1.0,Drink,0.012294685034602877,91
11,2.0,Drink,0.01104301496663719,91
12,3.0,Drink,0.009938297022527383,91
13,4.0,Drink,0.009601952244548656,91
14,5.0,Drink,0.008525798264578,91
15,6.0,Drink,0.0074998047427867484,91
16,7.0,Drink,0.007216929193646492,91
17,8.0,Drink,0.005453490459612407,91
18,9.0,Drink,0.004799412991336054,91
19,10.0,Drink,0.0028014340756792344,91
20,1.0,Cloth,0.02675446627738417,91
21,2.0,Cloth,0.03918838369224037,91
22,3.0,Cloth,0.041802572616937914,91
23,4.0,Cloth,0.046699013655142174,91
